text,sentiment
"Hmm semua itu karena elite global, kalo mmg karena pemerintahan dan MBG emang zaman jokowi ga ada korupsi? ada juga sama aja juga isi pemerintahannya MBG juga uangnya mungkin hampir memutar ke kalangan atas dan bawah indonesia kenapa rupiah sangat melemah???, itumah elite global rupiah melemah karena pengaruh elite global lari semua uang indonesia ke luar terus menghilangkan kepercayaan investor2 terhadap indonesia",label sentimen: negatif
"Loose lips sink ship. Ini krn regulasi, contoh biarkan Shell, BP, AKR, Exxon impor BBM sendiri agar mengurangi beban Pertamina. Bubarkan Danantara, karena cuma calo. Fakta, saham Garuda diakusisi 93% hasilnya, nyariin leasing Garuda, kerja Wadirut cuma pecat karyawan, Direktur Marketing tidak kompeten, titipan ordal. Malah, now, export sawit, Bbara mau ikut ikut. Kompetensi Rosan cuma staf Bakrie, kita tau lah reputasi nya Bakrie.",label sentimen: negatif
rupiah melemah karena sell off rupiah besar besaran oleh singapura,neutral
"Laporan perusahaan robotech, duit tidak masuk, moderenisasi tidak selesai, internet bermasalah, mobil-mobil tidak ada, motor oke, pindah ke eropa,stop di account youtube",label sentimen: negatif
"Labil banget yak, awalnya cm satu orang aja ngomong sell indonesia, beneran se-indonesia jd ruamee, rp anjlok.. stok kopi aman? 😂😂😂",label sentimen: negatif
"Terimakasih kontennya, sangat edukatif",positive
Pemerintah nya tuh yg nga becus mengurus negara cuma penting kn diri sendiri saja tdk mikirkan cara nya supaya negara bisa maju tuh gmna cara nya pdhl rakyat sdh byk yg menderita terutama rakyat bawah.,negative
"😂🤣😂🤣🤣😂🤣  pemerintahan penuh tipu-tipu? 😂😂🤣🤣 adakah sesuatu yang bisa diandalkan dari presiden, DPR, gubernur, DPRD dan bupati semuanya ala Rp.50 K? 😂😂😂🤣🤣 presidennya antek bekas presiden bekas? 😂😂🤣🤣😂 dan tentu saja sejak lama semua sudah dikendalikan asing & aseng? 😂😂😂",negative
Kyk Ngajarin anak kecil y kooh 🗿🗿 pke nyamain 98 sama yg sekarang. Jelas² suatu asset akan selalu membuat ATH nya seiring waktu.,label sentimen: negatif
dari salah satu youtuber ada kebijakan Quantitative Easing (QE) sehingga walau bi rate naik tapi rupiah tetap turun terus,neutral
INDON tidak kena pajak bro LEON.,label sentimen: negative
"Indonesia politikus nya nggak pentingin midterm nya,mereka pentingin nanti pas lagi kampanye yaitu mulai tahun ke 5 masa jabatan nya,disitulah mereka caper lagi.Kalau rupiah melemah di tahun ke 5 pemerintahan prabowo,pasti dia gerak cepat supaya di mata masyarakat indonesia dia bisa mengatasi krisis",neutral
"Akar masalahnya kebanyakan nonton influencer, ingat saham konglo uda pd nyangkut ritel banyak korban 😂",label sentimen: negatif
Apa karena menkeu menolak meminjam dr IMF makannya idr melemah?,neutral
