text,sentiment
"Hmm semua itu karena elite global, kalo mmg karena pemerintahan dan MBG emang zaman jokowi ga ada korupsi? ada juga sama aja juga isi pemerintahannya MBG juga uangnya mungkin hampir memutar ke kalangan atas dan bawah indonesia kenapa rupiah sangat melemah???, itumah elite global rupiah melemah karena pengaruh elite global lari semua uang indonesia ke luar terus menghilangkan kepercayaan investor2 terhadap indonesia",negative
"Loose lips sink ship. Ini krn regulasi, contoh biarkan Shell, BP, AKR, Exxon impor BBM sendiri agar mengurangi beban Pertamina. Bubarkan Danantara, karena cuma calo. Fakta, saham Garuda diakusisi 93% hasilnya, nyariin leasing Garuda, kerja Wadirut cuma pecat karyawan, Direktur Marketing tidak kompeten, titipan ordal. Malah, now, export sawit, Bbara mau ikut ikut. Kompetensi Rosan cuma staf Bakrie, kita tau lah reputasi nya Bakrie.",negative
rupiah melemah karena sell off rupiah besar besaran oleh singapura,neutral
"Laporan perusahaan robotech, duit tidak masuk, moderenisasi tidak selesai, internet bermasalah, mobil-mobil tidak ada, motor oke, pindah ke eropa,stop di account youtube",negative
"Labil banget yak, awalnya cm satu orang aja ngomong sell indonesia, beneran se-indonesia jd ruamee, rp anjlok.. stok kopi aman? 😂😂😂",negative
"Terimakasih kontennya, sangat edukatif",positive
Pemerintah nya tuh yg nga becus mengurus negara cuma penting kn diri sendiri saja tdk mikirkan cara nya supaya negara bisa maju tuh gmna cara nya pdhl rakyat sdh byk yg menderita terutama rakyat bawah.,negative
"😂🤣😂🤣🤣😂🤣  pemerintahan penuh tipu-tipu? 😂😂🤣🤣 adakah sesuatu yang bisa diandalkan dari presiden, DPR, gubernur, DPRD dan bupati semuanya ala Rp.50 K? 😂😂😂🤣🤣 presidennya antek bekas presiden bekas? 😂😂🤣🤣😂 dan tentu saja sejak lama semua sudah dikendalikan asing & aseng? 😂😂😂",negative
Kyk Ngajarin anak kecil y kooh 🗿🗿 pke nyamain 98 sama yg sekarang. Jelas² suatu asset akan selalu membuat ATH nya seiring waktu.,negative
dari salah satu youtuber ada kebijakan Quantitative Easing (QE) sehingga walau bi rate naik tapi rupiah tetap turun terus,neutral
INDON tidak kena pajak bro LEON.,negative
"Indonesia politikus nya nggak pentingin midterm nya,mereka pentingin nanti pas lagi kampanye yaitu mulai tahun ke 5 masa jabatan nya,disitulah mereka caper lagi.Kalau rupiah melemah di tahun ke 5 pemerintahan prabowo,pasti dia gerak cepat supaya di mata masyarakat indonesia dia bisa mengatasi krisis",negative
"Akar masalahnya kebanyakan nonton influencer, ingat saham konglo uda pd nyangkut ritel banyak korban 😂",negative
Apa karena menkeu menolak meminjam dr IMF makannya idr melemah?,neutral
"jujur ya, kalau lu mau benahi Indo, lu harus flash back apa yg indo sdh tanda tangan. Contoh globalisasi finance. Dgn globalisasi finance, Soros garong duit ke Indo, detik itu juga dollar nya bisa di tarik ke  Amerika. Lu percuma ngomong makro dan mikro kalau infrastruktur finance Indo masih pakai sistem Amerika yg korup.

Gak percaya?

Lu lihat link ini, China di patok 39% dari total ekonomi Amerika dan China dari 2025 - 2028 dan cuma naik 1% di thn 2031.

Yg lain?

a. Currency sumber bloomberg.
1. USA allies
A. UK - 1 USD = 0.74 Pound
B.  Europe, 1 USD = 0. 84 Euro
c. Jordan, 1 USD = 0.70 Jordan dollar
d. Singapore, 1 USD = 1.27 Singapore dollar
e. etc.

2. Non USA allies
1. Iran, 1 USD = 1.3 juta rial
2. Venezuela, 1 USD = 50 juta Bolivar VEF
3. Indonesia, 1 USD = 17.717 Rp dari  1 USD = Rp 5
4. Iran, 1 USD = 1100 dinar dari 1 USD = 0.3 dinar
5. dsb.

B Credit rating berdasarkan Moody's
1. US aliies
a. Amerika, Aa1
b. Inggris,  Aa3
c. Singapore, Aa3
d. Saudi, Aa3
e. dsb

2. Non-USA allies
a. Indonesia, Ba2
b. China, A1
c. Iran, no credit rating
d. Korut, no credit rating
e. Russia, no credit rating
f. dsb

c. Index korupsi berdasarkan Transparency International (TI)
1. USA allies.
a. Amerika, no 29
b. Inggris, no 20
c. Denmark, no 1
d. Singapore, no 3
e. NZ, no 4

2. Non-USA alilies
a. China no 76
b. Indonesia, 109
c. Russia, 157
d. Venezuela, 180
e. dsb",neutral
"Isi pemerintah nya dr DPR, pemerintah, penegak hukum banyak kaum oligarki.cuma mikir diri sendiri",negative
Bs dilihat indonesia gak maju tetapi malahan melemah.😂,negative
ambyaar,negative
Ini kabinet yg bener bener kaya lemari kosong ...belum menteri keuangannya suka asbun nggak perduli investor 😢😢😢rusak kaya bossnya,negative
"Inti dr segala inti pemerintah GA KOMPETEN samsek manage negara. Pimpinan narsistik blgny buat rakyat padahal ada tujuan lain, cuma kedok. Ga trima kritik dan ga open. Belanja dg mata uang asing gila2an demi menguntungkan golongan sendiri.",negative
Currency War is commencing,neutral
Menurut ku sih saat ini dollar sedang menguat seperti terlihat pada aux/usd,neutral
Saya senang ni channel. Karena kritiknya baik dan membangun tpi disatu sisi berimbang ♥️,positive
Kuliah gratis. makasih koh 😊,negative
kalau 17 845 indonesia merdeka kata PDIP,negative
Ekonomi gak serepot yg di bayangkan brow. Ekonomi gak lebih sulit dari main domino. Kuat tidak nya ekonomi tergantung kartu yg ada ditangan anda. Yg tau kartu bukan anda tapi otoritas yg di kasih mandad,neutral
ZOEL/PLOEZ BANYAKNYA KORUPTOOR PENYIMPAN $,negative
Dikata yang coment2 yg lihat video dan yg bikin video orang2 bodoh bagi mereka..,negative
"Menurut ku ekonomi sangat terdampak dari karakter pejabat dan hukum di dalam negeri.
Ketidak amanan membuat investor pada tidak percaya dengan negara ini.",neutral
Bagus donk rupiah melemah agar mendorong ekspor. Bukan mau mendorong impor kan? Dgn gitu pengekspor akan lebih digiatkan. Biar aja pengimpor rugi!!!!!! ❤❤❤❤,negative
"Cek berapa jumlah korban di lebaran haji tahun ini,,,!",neutral
"Penjelasannya ringan, mudah diterima",positive
"Kalau Danamas Dollar, bisa langsung buka akun di Sinarmas (bank, atau broker), karena min investnya masih bisa di 100 USD",neutral
"asal kita gak impor gak ngaruh tuh rupiah turun,, malah kita ekspor pakai dollar malah lebih untung kan kayaknya? cuma hanya orang kaya yg suka keluar yg ngerasa rugi,, pengusaha yang impor yang pusing,, kalo desa mah,, gak ngaruh,, asal bahan pokok gak impor jadi harga masih stabil,, atau asal harga pokok stabil mah,, gak ngaruh rupiah turun...",neutral
"masalah intinya itu dollar naik rupiah turun mempengaruhi kita rakyat gak sih? kalo aku rakyat bawah sih gak sih? malah yg tkw desa2 suka pada kirim uang ke indo,, yg rugi kan yg beli sesuatu di luar negeri yg suka barang luar,, mungkin dengan rupiah melemah di banding dollar,, malah membuat rakyat membeli produk negeri sendiri,, kalo kita masih mendewakan dollar,, kita boneka ASSSS.. jadi cecunguk mereka yang mudak di kendalikan,..",neutral
"98-2013 stabil, 2014-2026 naek

Hmmm mulai era nya sapa tuuhh 👀",negative
"trump pidato atau bercuit di x dolar us saham us naik
kalau indo..........🫢",negative
"Makin tipis rambut pala, ko.",negative
"Selama niatnya Prabowo dan si gibran mau menggemukan dompet mereka dan kroninya melalui jabatan publiknya, rakyat nggak penting dan bangsa nggak penting. Iya kan koh? Kembali ke NIAT PEJABAT PUBLIKNYA.",negative
"Cepat jual dolar, peningkatan usd hanya fluktuasi tahunan krn permintaan melonjak ken masyarakat dan pemerintaj memerlukannya u ibadah haji. Saya sdh mengamatinya bertahun tahun.🙏",negative
"1. Korupsi
2. Perizinan ribet
3. Kepastian hukum (peraturan berubah2)",negative
UP,neutral
Karena emang gak ada political will dari negara sendiri.,negative
"😂 maka nya kalau ada calon wakil negara nyogok uang 50 ribu tuh jangan di ambil. 
 Ya menderita nya 5 taun",negative
"Akari masalahnya yah koruptor coba di sah kan uu perampasan aset koruptor dan hukuman mati di jamin uang kas negara terjaga juga bisa bayar utang negara dengan lancar..
Hasil bumi negara kita melimpah sayangnya banyak oknum yang menyala gunakan seperti emas timah bahkan nikel belum lagi hasil nelayan dan tani gak di perhatiin jadi pake hasil luar negeri😅😅",negative
setahu saya indon kuponnya pajaknya 0% karena insentif pemerintah buat investor intl ....,negative
Bagaimana membandingkan dengan harga BBM import dan material lainnya ?,neutral
Prabowo ni mbah mbah demensia semoga cepet lengser,negative
"BETUL SEKALI BANG.. INI BISA DI BUKTIKAN KINERJA PARA MENTERI PRABOWO.. 
GUBERNUR BI YANG TERPENTING DALAM MENGENDALIKAN RUPIAH KE DOLLAR AS",neutral
Amerika sj lagi perang ko dolar tdk turun. Padahal indo aman2 sj kenapa Rupia turun.,neutral
"Gue pribadi sendiri dari awal sepakat. inti dari kejadian sekarang bisa jadi dari Regulasi.. yang dimana asing enggan naro investasi disini... tapi selama ini penegakan korupsi gencar banget loh di pemerintahan prabowo. Jadi asumsi karna tinggi nya korupsi/penegakan hukum apa masih relefan? Gue pribadi mikirnya ini karna kebijakan pemerintah terkait investasi aja.. yang akhir2 ini memang berubah terus... dan prabowo sendiri fokusnya ke dalam negeri. (MBG, Kopdes, dll).. bukannya mbg dll salah ya.. Gue pribadi gak masalah terkait ini.",neutral
Astronom,neutral
"Pas jaman pa harto rakyat masih merasakan harga murah ga susah2 banget lah hidupnya rakyat walaupun di balik itu rupiah berdarah2. Makanya populer meme ""enak jaman ku to"".
Lah kalau sekarang kalian bisa rasakan sendiri lah ❤",negative
"Setiap kebijakan pemerintah akan ada dampak ""negatif"" nya, meskipun seolah itu hal yg tidak ada dampak negatifnya.

penegakan hukum itu mungkin terkesan tidak ada harga negatifnya, tapi mencapainya [BISA] jadi itu ada harga yg harus dibayar.

Orang sering menggunakan angka ini untuk mengejek kubu prabowo, tapi di saat bersamaan 58% ini adalah realitas politik rakyat indonesia (tentu 58% itu bukan berarti jumlah masyarakat indonesia). 58% persen masyarakat itu tidak siap",negative
"Thank u utk kuliahnya, ko Leon 🙏🏾🙏🏾🙏🏾",negative
